//Question	HandleLabel	QuestionKey	AffectValue
You will get a raise in _ months	Get raise	positive	1.065012549
You will play in the park with your child in _ months	Park with your child	positive	1.0677669
You will get a new puppy in _ months	New puppy	positive	1.072621171
You will get a paid internship in _ months	Paid internship	positive	1.073078642
You will go on a vacation in _ months	Go on vacation	positive	1.0904063
You will spend a holiday with family in _ months	Holiday with family	positive	1.09071336
You will win a new Porsche in _ months	New Porsche	positive	1.097601417
You will get an unexpected vacation in _ months	Unexpected vacation	positive	1.114473541
You will lay in a hammock overlooking the beach in _ months	Hammock over beach	positive	1.152916269
You will travel to a different country in _ months	Go to different country	positive	1.15884149
You will go to a concert of your favorite musician in _ months	Concert of favorite musician	positive	1.162858998
You will spend valuable time with close friends in _ months	Time with close friends	positive	1.17028013
You will get a large bonus at work in _ months	Large bonus	positive	1.179006164
You will win a free vacation in _ months	Free vacation	positive	1.180863031
You will get a week of paid vacation in _ months	Week of paid vacation	positive	1.18087233
You will be hired for a well paid job in _ months	Well paid job	positive	1.186062119
You will get a free plane ticket to go anywhere in _ months	Free plane ticket	positive	1.258093977
You will get a doctorate degree in _ months	Doctorate degree	positive	1.273307318
You will receive enough money to satisfy all of your desires in _ months	Enough money for all desires	positive	1.286257721
You will be hired for your ideal job in _ months	Ideal job	positive	1.295262402
You will get a perfect score on a test in _ months	Perfect score on test	positive	1.295468894
You will get engaged in _ months	Engaged	positive	1.297820408
You will be accepted into your ideal school in _ months	Accepted into ideal school	positive	1.301909183
You will win a Nobel prize in _ months	Win Nobel prize	positive	1.319028553
You will watch your child graduate in _ months	Watch child graduate	positive	1.32078902
You will win a million dollars in _ months	Win a million dollars	positive	1.328482782
You will watch your child get married in _ months	Watch child get married	positive	1.331051749
You will see your child get accepted into their ideal school in _ months	Child accepted into ideal school	positive	1.335417109
You will watch your child walk for the first time in _ months	Watch child walk	positive	1.339886568
You will win millions of dollars in _ months	Win millions of dollars	positive	1.347081956
You will fall in love in _ months	Fall in love	positive	1.353434627
You will graduate college in _ months	Graduate college	positive	1.355976994
You will get married in _ months	Get married	positive	1.367110428
You will accomplish a life goal in _ months	Accomplish life goal	positive	1.368881422
You will find your ideal significant other in _ months	Ideal significant other	positive	1.386805352
You will get a free college education in _ months	Free college education	positive	1.485845413
You will cure cancer in _ months	Cure cancer	positive	1.501543734
