//Question	HandleLabel	QuestionKey	AffectValue
You will spend a holiday with family in # months	Holiday with family	positive	1.09071336
You will win a new Porsche in # months	New Porsche	positive	1.097601417
You will get an unexpected vacation in # months	Unexpected vacation	positive	1.114473541
You will lay in a hammock overlooking the beach in # months	Hammock over beach	positive	1.152916269
You will travel to a different country in # months	Go to different country	positive	1.15884149
You will go to a concert of your favorite musician in # months	Concert of favorite musician	positive	1.162858998
You will spend valuable time with close friends in # months	Time with close friends	positive	1.17028013
You will get a large bonus at work in # months	Large bonus	positive	1.179006164
You will win a free vacation in # months	Free vacation	positive	1.180863031
You will get a week of paid vacation in # months	Week of paid vacation	positive	1.18087233
You will be hired for a well paid job in # months	Well paid job	positive	1.186062119
You will get a free plane ticket to go anywhere in # months	Free plane ticket	positive	1.258093977
You will get a doctorate degree in # months	Doctorate degree	positive	1.273307318
You will receive enough money to satisfy all of your desires in # months	Enough money for all desires	positive	1.286257721
You will be hired for your ideal job in # months	Ideal job	positive	1.295262402
You will get a perfect score on a test in # months	Perfect score on test	positive	1.295468894
You will get engaged in # months	Engaged	positive	1.297820408
You will be accepted into your ideal school in # months	Accepted into ideal school	positive	1.301909183
You will win a Nobel prize in # months	Win Nobel prize	positive	1.319028553
You will watch your child graduate in # months	Watch child graduate	positive	1.32078902
You will win a million dollars in # months	Win a million dollars	positive	1.328482782
You will watch your child get married in # months	Watch child get married	positive	1.331051749
You will see your child get accepted into their ideal school in # months	Child accepted into ideal school	positive	1.335417109
You will watch your child walk for the first time in # months	Watch child walk	positive	1.339886568
You will win millions of dollars in # months	Win millions of dollars	positive	1.347081956
You will fall in love in # months	Fall in love	positive	1.353434627
You will graduate college in # months	Graduate college	positive	1.355976994
You will get married in # months	Get married	positive	1.367110428
You will accomplish a life goal in # months	Accomplish life goal	positive	1.368881422
You will find your ideal significant other in # months	Ideal significant other	positive	1.386805352
You will get a free college education in # months	Free college education	positive	1.485845413
You will cure cancer in # months	Cure cancer	positive	1.501543734
